Word,Count
#inflat,2
#information,1
#insurance,1
#internetrefugees,1
#internetshutdown,1
#investing,11
#investment,1
#itjobmarket,1
#jackcanfield,2
#janco,1
#job,1
#jobs,8
#johnmackey,3
#kgglobal,1
#kids,1
#koreans,1
#kubanjidirect,2
#leadership,3
#lending,1
#libertarian,1
#liderazgo,1
#lif,2
#loan,1
#local,1
#love,1
#loveleigh,1
#makeyourownlane,2
#management,1
#manufacturing,2
#marathon,2
#marijuana,2
#market,2
#marketing,4
#markets,31
#marketwatch,4
#mdbaid,1
#meme,10
#mentalhealth,1
#mfg,1
#miPlaza,2
#millennial,1
#millennials,3
#mktgnat,6
#mondaymo,3
#mondaymotivation,3
#money,7
#morningjoe,5
#mortgage,1
#mortgages,1
#motleyfool,3
#msnbc,6
#multifamily,1
#multilateral,2
#mustread,22
#neg,1
#neoliberalism,1
#networking,2
#newdelhi,1
#news,33
#newsaz,1
#newspapers,2
#newyork,3
#noamchomsky,1
#nonoil,1
#nutrition,1
#nytimes,1
#nyuadha,1
#officelife,1
#oil,6
#online,2
#onpoli,1
#openNASS,1
#opendata,4
#orangearmy,1
#ows,3
#paidleave,3
#paxex,1
#peacetalk,1
#performance,2
#pharma,3
#pipelines,3
#policies,3
#policiesandprocedures,1
#policy,2
#poorIndia,1
#population,1
#portofTrieste,1
#pot,2
#potatoes,1
#pound,1
#power,1
#proprietary,1
#pymes,1
#quantli,1
#realestate,1
#recession,2
#recreation,1
#referendum,1
#regulations,1
#renewables,1
#rent,1
#retail,4
#reuters,8
#ridesharing,1
#robots,1
#roseville,1
#running,2
#runsimple,5
#russia,1
#sac,1
#sad,1
#sales,2
#satire,1
#science,1
#secession,1
#seriously,1
#sharingeconomy,5
#skimic,1
#skpoli,3
#smallbusiness,1
#smartcity,4
#smartphones,1
#snapchat,1
#socent,2
#social,1
#socialimpact,1
#socialinnovation,1
#socially,1
#socialmed,1
#socialmedia,3
#society,5
#soils,2
#solar,1
#solarenergy,1
#spending,1
#spring,1
#springbreak,1
#stamps,1
#startup,4
#startups,5
#steel,1
#stocks,1
#summit,1
#supercritical,1
#sustainability,4
#systan,1
#t,1
#talenteconomy,1
#taxcuts,3
#taxes,2
#taxreform,2
#tcot,1
#tech,2
#technology,1
#techtrends,1
#thaiairways,2
#toCONSIDER,1
#top,1
#top_stories,1
#topstory,1
#toronto,1
#torontonews,1
#tourism,1
#trade,2
#trading,10
#tramabus,1
#transatlantic,2
#transparency,1
#travel,2
#tulipmania,1
#turqu?,1
#tyrkia,1
#tyrkiaval,1
#uk,1
#unemployment,2
#unitedkingdom,1
#unpaid,1
#update,2
#usa,1
#utah,1
#vanre,1
#vc,1
#venturecapital,1
#video,1
#viral,1
#votemay9,1
#washingtonpost,1
#waste,1
#water,5
#webcontent,1
#weed,2
#weedweek,2
#westvirginia,2
#wind,1
#windpower,1
#women,1
#womeninbiz,1
#wordstoliveby,3
#workers,1
#workforce,1
#workfromhome,2
#world,1
#worldnews,1
#wsj,8
#wv,2
#wvhub,2
#yorkshire,1
#yuan,1
#yyc,5
#yyjtraf,1
#zeitgeist,2
#zoirun,2
'Asi,1
/t.co/TaLMZ,3
02ti,1
<U+23E9>https://?,1
<ed><U+00B1><U+008D>,1
Growth:,1
a,2
co/S,1
conomy,1
ernet,2
gige,1
gvip,1
https://,2
https://t,1
ian,1
makeyour,1
muP,1
new,1
ono,1
onomy,1
ttps://t,1
wnlane,1
y,1
